player,pos,age,tm,g,gs,mp,pts,orb,drb,trb,ast,stl,blk,tov,pf,fg,fga,fg%,3p,3pa,3p%,2p,2pa,2p%,ft,fta,ft%,efg,ts,ftr,3par,fg+,2p+,3p+,efg+,ft+,ts+,ftr+,3par+,on-off,ortg,drtg,per,orb%,drb%,trb%,ast%,stl%,blk%,tov%,usg%,ows,dws,ws,ws/48,obpm,dbpm,bpm,vorp,team_seed,win_percentage,year
Joel Embiid,C,29.0,PHI,38.0,38.0,33.6,34.8,2.5,8.5,11.0,5.6,1.2,1.7,3.8,2.9,11.6,21.8,0.531,1.3,3.5,0.379,10.3,18.3,0.56,10.3,11.7,0.883,0.585,0.598,0.115,0.703,93.0,98.0,110.0,107.0,96.0,103.0,47.0,178.0,9.8,125.0,111.0,34.1,8.7,30.4,19.3,32.2,1.8,4.7,12.5,39.8,4.7,2.3,7.0,0.263,8.5,3.1,11.6,4.4,7,0.563,2024
Luka Dončić,PG,24.0,DAL,70.0,70.0,37.5,33.9,0.8,8.4,9.2,9.8,1.4,0.5,4.0,2.1,11.5,23.6,0.487,4.1,10.6,0.382,7.4,13.0,0.573,6.8,8.7,0.786,0.418,0.435,0.156,0.248,81.0,76.0,78.0,77.0,75.0,75.0,64.0,63.0,7.1,123.0,115.0,28.1,2.7,26.5,14.6,43.9,1.8,1.3,12.8,36.3,7.9,3.6,11.6,0.211,8.4,1.7,10.1,8.1,5,0.625,2024
Shai Gilgeous-Alexander,PG,25.0,OKC,73.0,73.0,34.4,30.4,0.9,4.7,5.6,6.2,2.1,0.9,2.2,2.5,10.7,19.9,0.539,1.3,3.5,0.368,9.4,16.4,0.576,7.6,8.7,0.871,0.725,0.731,0.368,0.0,153.0,133.0,0.0,133.0,86.0,126.0,150.0,0.0,11.6,130.0,113.0,29.3,3.2,16.1,9.9,30.0,2.9,2.4,8.5,33.2,9.8,4.0,13.8,0.264,6.7,2.3,9.1,7.0,3,0.688,2024
Giannis Antetokounmpo,PF,29.0,MIL,73.0,73.0,35.2,30.4,2.7,8.8,11.5,6.5,1.2,1.1,3.4,2.9,11.5,18.8,0.611,0.5,1.7,0.274,11.0,17.1,0.645,7.0,10.7,0.657,0.624,0.649,0.571,0.091,129.0,118.0,75.0,114.0,84.0,112.0,233.0,23.0,8.6,127.0,114.0,29.7,9.4,29.6,19.8,32.5,1.7,2.6,12.7,33.3,8.9,3.8,12.6,0.236,6.7,2.4,9.1,7.2,2,0.613,2024
Jalen Brunson,PG,27.0,NYK,75.0,75.0,35.3,28.6,0.5,3.0,3.6,6.7,0.9,0.2,2.4,1.9,10.2,21.2,0.481,2.8,6.9,0.402,7.5,14.4,0.519,5.4,6.4,0.843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,126.0,120.0,23.2,1.9,10.7,6.3,33.2,1.3,0.5,9.2,32.6,8.4,2.2,10.6,0.192,6.2,-0.4,5.8,5.2,3,0.6,2024
Devin Booker,PG,27.0,PHO,66.0,66.0,35.9,27.2,0.8,3.7,4.5,7.0,0.9,0.4,2.6,3.0,9.5,19.3,0.493,2.2,6.2,0.362,7.3,13.2,0.553,5.9,6.7,0.887,0.569,0.6,0.245,0.487,99.0,95.0,113.0,104.0,99.0,103.0,100.0,123.0,6.3,125.0,119.0,21.9,2.9,11.9,7.6,31.5,1.3,1.0,10.5,30.3,6.5,2.1,8.5,0.173,4.1,-1.0,3.1,3.0,7,0.588,2024
Kevin Durant,PF,35.0,PHO,73.0,73.0,37.1,27.2,0.5,6.1,6.7,5.1,0.9,1.2,3.2,1.8,10.1,19.2,0.524,2.2,5.4,0.413,7.8,13.8,0.567,4.9,5.7,0.854,0.5,0.5,0.0,0.0,105.0,92.0,0.0,91.0,0.0,86.0,0.0,0.0,6.3,119.0,116.0,21.3,1.8,18.8,10.8,22.7,1.2,2.9,13.0,29.3,4.5,3.3,7.8,0.138,4.1,0.1,4.3,4.3,7,0.588,2024
Jayson Tatum,PF,25.0,BOS,74.0,74.0,35.7,26.9,0.9,7.2,8.1,4.9,1.0,0.6,2.5,2.0,9.1,19.3,0.471,3.1,8.2,0.376,6.0,11.0,0.542,5.6,6.7,0.833,0.562,0.59,0.18,0.501,96.0,91.0,114.0,103.0,105.0,102.0,73.0,127.0,-0.3,122.0,112.0,22.3,3.1,22.1,13.1,21.2,1.4,1.4,10.3,30.4,5.8,4.3,10.1,0.183,4.5,0.6,5.1,4.7,1,0.775,2024
De'Aaron Fox,PG,26.0,SAC,72.0,72.0,36.0,26.7,0.9,3.7,4.6,5.7,2.0,0.4,2.7,2.6,9.7,21.0,0.464,2.9,7.9,0.367,6.8,13.1,0.522,4.3,5.8,0.735,0.333,0.333,0.0,0.533,56.0,52.0,68.0,61.0,0.0,57.0,0.0,135.0,6.3,115.0,116.0,19.9,3.1,12.9,7.8,25.2,2.7,1.1,10.1,31.4,2.7,3.0,5.7,0.106,2.6,-0.1,2.5,3.0,9,0.563,2024
Nikola Jokić,C,28.0,DEN,77.0,77.0,34.6,26.6,2.8,9.6,12.4,9.0,1.3,0.9,3.0,2.4,10.5,18.0,0.581,1.1,3.0,0.358,9.4,15.0,0.625,4.6,5.6,0.818,0.426,0.453,0.088,0.588,74.0,92.0,68.0,78.0,128.0,78.0,36.0,149.0,20.0,132.0,110.0,31.1,10.3,33.4,22.1,42.3,1.9,2.1,12.7,29.9,11.3,4.9,16.2,0.292,9.2,4.4,13.6,10.6,1,0.7,2024
